Date,App_Name,Category,Minutes_Used
2026-07-21,TikTok,Social Media,62
2026-07-21,VS Code,Coding,53
2026-07-21,YouTube,Entertainment,42
2026-07-21,Instagram,Social Media,34
2026-07-21,Spotify,Entertainment,30
2026-07-21,Terminal,Coding,21
2026-07-21,GitHub,Coding,17
2026-07-21,Gmail,Productivity,14
2026-07-21,Slack,Productivity,14
2026-07-21,Khan Academy,Education,13
2026-07-21,Kindle,Education,11
2026-07-21,Duolingo,Education,5
2026-07-22,VS Code,Coding,72
2026-07-22,TikTok,Social Media,48
2026-07-22,YouTube,Entertainment,42
2026-07-22,Instagram,Social Media,36
2026-07-22,Spotify,Entertainment,18
2026-07-22,X (Twitter),Social Media,17
2026-07-22,Slack,Productivity,14
2026-07-22,Terminal,Coding,13
2026-07-22,Khan Academy,Education,13
2026-07-22,GitHub,Coding,10
2026-07-22,Duolingo,Education,10
2026-07-22,Gmail,Productivity,10
2026-07-23,VS Code,Coding,75
2026-07-23,TikTok,Social Media,49
2026-07-23,Instagram,Social Media,44
2026-07-23,YouTube,Entertainment,41
2026-07-23,Spotify,Entertainment,29
2026-07-23,Slack,Productivity,20
2026-07-23,Terminal,Coding,16
2026-07-23,Kindle,Education,13
2026-07-23,Gmail,Productivity,12
2026-07-23,Khan Academy,Education,11
2026-07-23,Duolingo,Education,9
2026-07-24,YouTube,Entertainment,63
2026-07-24,TikTok,Social Media,60
2026-07-24,VS Code,Coding,57
2026-07-24,Netflix,Entertainment,31
2026-07-24,Instagram,Social Media,29
2026-07-24,Spotify,Entertainment,23
2026-07-24,X (Twitter),Social Media,20
2026-07-24,Slack,Productivity,19
2026-07-24,Kindle,Education,18
2026-07-24,GitHub,Coding,16
2026-07-24,Terminal,Coding,16
2026-07-24,Khan Academy,Education,13
2026-07-24,Gmail,Productivity,10
2026-07-24,Duolingo,Education,9
2026-07-25,YouTube,Entertainment,67
2026-07-25,TikTok,Social Media,63
2026-07-25,Instagram,Social Media,45
2026-07-25,Spotify,Entertainment,31
2026-07-25,VS Code,Coding,23
2026-07-25,Duolingo,Education,10
2026-07-25,Slack,Productivity,10
2026-07-25,Terminal,Coding,9
2026-07-25,Kindle,Education,8
2026-07-25,GitHub,Coding,7
2026-07-26,YouTube,Entertainment,75
2026-07-26,Netflix,Entertainment,57
2026-07-26,Instagram,Social Media,53
2026-07-26,X (Twitter),Social Media,36
2026-07-26,Spotify,Entertainment,23
2026-07-26,Kindle,Education,12
2026-07-26,Duolingo,Education,10
2026-07-26,Slack,Productivity,6
2026-07-26,GitHub,Coding,5
2026-07-26,Terminal,Coding,5
2026-07-26,Gmail,Productivity,3
2026-07-27,VS Code,Coding,68
2026-07-27,TikTok,Social Media,66
2026-07-27,YouTube,Entertainment,47
2026-07-27,Netflix,Entertainment,32
2026-07-27,Spotify,Entertainment,30
2026-07-27,Instagram,Social Media,24
2026-07-27,Terminal,Coding,17
2026-07-27,Slack,Productivity,17
2026-07-27,GitHub,Coding,16
2026-07-27,Gmail,Productivity,15
