label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62
A,0.0,0.0,0.0,0.3814057821184372,-0.14781915735312653,-0.062411529430455706,0.6196447446321354,-0.5554237451452783,-0.05480300640607201,0.6791340888234751,-0.9595512140270063,-0.050055284656445195,0.7143346750538594,-1.2042986125401574,-0.01744381411207085,0.44870748190063864,-0.9466285421853529,0.04185190948843328,0.5030624947203074,-1.1734883962958917,-0.06577251535976075,0.44316556995629636,-0.8189656816756622,-0.10600547968345238,0.40051623735963265,-0.7371055759028959,-0.11697060207236781,0.25076132596717193,-0.9676796559624001,0.02673650754448825,0.2962478252389947,-1.1348717436806997,-0.08770044529979559,0.2618120022242202,-0.7220288153665895,-0.11149012317492296,0.24159685142257295,-0.7117127988637669,-0.1085228076514418,0.054626451333833606,-0.9459160372257412,-0.011394796782372391,0.10838954215999633,-1.0952588017901521,-0.15361509744562513,0.09428809994841816,-0.7093437579251863,-0.10707658367077268,0.07552958461250439,-0.7045339689265262,-0.046550387692469004,-0.15776547629086216,-0.9152260657064423,-0.05216562925877465,-0.08599222864914682,-1.0360292267936768,-0.13093186447184102,-0.07834950098956696,-0.7831757102603155,-0.07209380887894527,-0.11277314732333217,-0.753460211462897,-0.011447691883015292
B,0.0,0.0,0.0,0.266058965404645,-0.13547356409010577,-0.05495662227650601,0.4235743636624307,-0.4923438098894199,-0.04882913062021802,0.3557913429226642,-0.828646553672167,-0.04168830802038273,0.16456161945711492,-0.9454438541606296,-0.04208252131824297,0.3360470412742765,-0.9185540318209868,0.021061886233858004,0.3815207761613668,-1.285189612006297,-0.012053345462404608,0.38765776269989405,-1.5296427261270233,-0.0633564741572182,0.3814488914146673,-1.7424887867007024,-0.10694945645359574,0.1996701802792472,-0.9798630036246965,0.0005596738701108587,0.2490316292439895,-1.3986419345714507,-0.02060058515650429,0.271461059901782,-1.6836605335018988,-0.07921516994712892,0.27553158105935344,-1.9161414894135231,-0.12679235485418433,0.06338049059392382,-0.9567427719212925,-0.031988916677231485,0.10686027652291515,-1.3532673728410547,-0.07222031191533922,0.13282140857611144,-1.6107757171101706,-0.13461141604005297,0.14331039116789818,-1.820696611734675,-0.17500908028668716,-0.09687587684557102,-0.865041459821003,-0.07111117543861105,-0.053428306400601436,-1.1967925978847873,-0.11398842127306816,-0.01990083100016396,-1.4033380677952012,-0.14144536246672523,0.0073565005277897175,-1.5871629043393125,-0.16063085180256706
B,0.0,0.0,0.0,0.2599237416969905,-0.14354373036365017,-0.05626425309636109,0.42028573648263645,-0.48906962136309484,-0.05143030866703511,0.36491390110104394,-0.8146679658287944,-0.045228002516419154,0.1869505003807561,-0.9428132513095204,-0.045285007482263336,0.339907201157116,-0.9177377010088221,0.019609685046225244,0.3868399857181323,-1.281665414635981,-0.011421766344880914,0.3944749895540976,-1.5194717929065282,-0.06113117528179923,0.39172498112222265,-1.7306700119346692,-0.10375622382486745,0.20385088450100888,-0.9790003729156866,0.0017569061167189907,0.25201734227288314,-1.3979683135697385,-0.01701984704561553,0.2781584457314528,-1.6715413255402853,-0.0726217795371442,0.2849513471128833,-1.8975775475472396,-0.11927124488005046,0.06933669065409094,-0.9550393221174002,-0.027987624772163718,0.11124890719941267,-1.3468780941019942,-0.0642011853065249,0.14127216932009576,-1.5934223337415012,-0.12178122375563477,0.15441445060288866,-1.7962293216514047,-0.16062488161045596,-0.0851954314676416,-0.8636638826260512,-0.06486656923738116,-0.04558344275078411,-1.1915319103983022,-0.10586936645661661,-0.011512655929271927,-1.3965976907401407,-0.13215267719753382,0.017376578224169933,-1.5811674709662449,-0.15105937636188319
B,0.0,0.0,0.0,0.2474959966418292,-0.10435444689286838,-0.06459046122704712,0.3970745330367402,-0.47538579022498034,-0.07249415654301193,0.3355172666294516,-0.8084204266407466,-0.08048590653527456,0.1642709749193862,-0.9504690750877889,-0.09824893623571367,0.3580127854170872,-0.9147708015364906,-0.027535438004858855,0.40012837154233066,-1.305153377235725,-0.08828807901826696,0.4201011197277607,-1.5690604548263103,-0.1525080874771227,0.4240260310723939,-1.794652343207421,-0.20209049558619852,0.2133626700798191,-0.9753948039106802,-0.05550988669107504,0.2641101562667179,-1.416694670203515,-0.10575350536944166,0.2985242014668673,-1.728951241889161,-0.17213781029469943,0.3135744704284815,-1.9764419569009217,-0.22019564287432292,0.063000735905002,-0.9463343509886857,-0.09528005770130277,0.11215660287076683,-1.3748228313059314,-0.16107211859239823,0.1446757312431002,-1.6592111460167889,-0.22460213985063696,0.16781243992104833,-1.886782985469818,-0.2606427125456542,-0.1115464425571066,-0.8444645149207782,-0.14195732169630956,-0.07397847196156919,-1.1895276676952342,-0.20918433545663298,-0.04206976798439946,-1.4136245906854639,-0.24261002262003165,-0.015410476132283971,-1.607476787251596,-0.261038636739662
B,0.0,0.0,0.0,-0.2708727846701627,-0.06313269171779001,-0.13502400156706718,-0.48517422771180946,-0.3211613454913027,-0.2197930348134542,-0.48312200992931165,-0.6019528299022835,-0.29436750230852204,-0.3146535315180937,-0.6934472621133732,-0.36166601086562394,-0.34099904743687154,-0.9251778868055217,-0.10886151413548668,-0.3295462506300506,-1.3099779461738066,-0.20346833802072894,-0.30758827651715537,-1.5576962094138211,-0.28610290219895446,-0.2776727788022358,-1.7644947321440985,-0.35151558594446447,-0.17158234459704186,-0.9787608847802309,-0.11219014861743214,-0.16628831838524238,-1.418193945665147,-0.19004801333253024,-0.14991594571514555,-1.7041967324023688,-0.25539536486860476,-0.13457225287972446,-1.9450009726077309,-0.30475307403326013,-0.019775394375459106,-0.9433804687316089,-0.1348252827633677,-0.019176818252900053,-1.3590477285786497,-0.2097626880735256,-0.01183329643399591,-1.6161969684682107,-0.26361625893991575,-0.0080833485979741,-1.8354576101483002,-0.3016988310501444,0.13574036858731572,-0.8262266600327799,-0.17170005967885088,0.1296342267165617,-1.1506121198133288,-0.24324966100025402,0.11982380906360417,-1.352438437956063,-0.28006230048158953,0.1088622136832794,-1.5387303597538897,-0.3039231319062797
B,0.0,0.0,0.0,-0.2844386258982899,-0.06243017862694088,-0.13856529639720172,-0.5058546919558967,-0.32507215142891777,-0.22219246928640754,-0.4970609734974653,-0.6107186155989996,-0.29587295699458055,-0.32132536302421355,-0.7006567187884194,-0.3630658874116726,-0.35445347019374873,-0.9154413640880893,-0.10397092427184261,-0.33949394686219503,-1.2940845435217228,-0.1991661735226532,-0.31204037198565154,-1.5392075478659342,-0.2839975316408638,-0.27606816700518727,-1.748067166510061,-0.3515486879732496,-0.1795033493155512,-0.9779211861432447,-0.10699860408756862,-0.17450864354104678,-1.4195298430658527,-0.18626994568784927,-0.15604736083579343,-1.7137281847734303,-0.25459573685957887,-0.13814718550265462,-1.9653096928580358,-0.30609815585076344,-0.026442184910897656,-0.9477038234665538,-0.1304676201718636,-0.02545872886204539,-1.3671211089033741,-0.2096918517528236,-0.01636563168667406,-1.6285860618308912,-0.2675683085444239,-0.011650872339166177,-1.8548621739662856,-0.30771718441405227,0.13058347027173184,-0.8341992106483234,-0.1684113106698335,0.1269295925033193,-1.1605772726873411,-0.2447555971784357,0.11828434888523635,-1.3624093858511699,-0.2846707542170656,0.10747483397471162,-1.551416339467146,-0.31042383293195425
B,0.0,0.0,0.0,-0.24975426647865787,-0.10264852465382994,-0.10800760512995736,-0.42531524522802794,-0.42560546880284245,-0.17218348745695766,-0.4188254907193698,-0.6928649551868933,-0.23148208672165843,-0.27815264327425676,-0.7659779004662594,-0.28480720738154675,-0.21105887570724247,-0.9860156420559517,-0.07370083255128977,-0.16736245890736534,-1.3871277218769749,-0.15324470561248654,-0.1332360164137439,-1.6294202810178509,-0.22314931996714543,-0.09270481345837434,-1.8263600759568728,-0.276348319234254,-0.06006561871242479,-0.9944537444204309,-0.08633580750116401,-0.02442172152763041,-1.4457105350393014,-0.1499152692764266,0.012893034237881736,-1.7326271899066938,-0.20476902415804835,0.052595026979495606,-1.9617433026044866,-0.2428244793506604,0.07608418316315575,-0.9303993284333362,-0.11686928954224454,0.1031839575347122,-1.3634340765316724,-0.17833991056517995,0.12908078480331306,-1.6318175869751197,-0.22375512466125758,0.15758370131514615,-1.8508168908453353,-0.25337275512673885,0.2040280615341087,-0.7916634272036049,-0.1603206728730412,0.22060960049067885,-1.1415009973105386,-0.21899947452127264,0.22972232459334924,-1.3560403348167682,-0.24662951771903197,0.2425670869509302,-1.5461933403027044,-0.26172960229393255
B,0.0,0.0,0.0,-0.245640084004113,-0.03598418245984601,-0.1211100263275168,-0.44898113715297516,-0.29731267776275044,-0.1915725957314155,-0.46354191316107485,-0.5599716737876342,-0.2551302710601493,-0.3234696865841495,-0.6828783231419743,-0.31465193031305955,-0.31669517628496596,-0.9295272882506785,-0.09512428449075346,-0.3063268012442585,-1.3057593084400576,-0.1842342488769838,-0.29696866882110395,-1.5467590537123919,-0.2655055293052741,-0.28078474244387663,-1.756233041997059,-0.3311699190233524,-0.16430761113215692,-0.9805176883759146,-0.10764790618491799,-0.1605893192338589,-1.4117656486805095,-0.1832711864655329,-0.14383643171787497,-1.6911845667050125,-0.25207066778676185,-0.12291890297099492,-1.9359519965403091,-0.3051683495984097,-0.026003838613212104,-0.9365711511974442,-0.13823717862873974,-0.027837494014134444,-1.3409024540876417,-0.21138468941283975,-0.023083847148101716,-1.5845160773275393,-0.26315534992452133,-0.01235391477646408,-1.7961833117142254,-0.30228131809291287,0.11520154494586067,-0.8129212670452549,-0.1832323644362233,0.10798371089843829,-1.1283034909975251,-0.2515492650521522,0.10280481815071323,-1.3195961377505983,-0.28553637273587196,0.09862391440388618,-1.499795782008924,-0.3101669742480303
C,0.0,0.0,0.0,-0.240951811175465,-0.1082714936212842,-0.08245196616727536,-0.44392319759427995,-0.36974848938574567,-0.13016644879078806,-0.518190773158106,-0.626091921660345,-0.1837110094380362,-0.39418699489466774,-0.7615911644487239,-0.22555442385627575,-0.27408169676314237,-0.9562328213047506,0.07673805094989497,-0.30275942090047187,-1.245093994138239,0.022238571322063673,-0.34951135100045105,-1.356173394832924,-0.05688224407812446,-0.3911640463020319,-1.3981155604542281,-0.11675289673785968,-0.14775391105968852,-0.9865640940499039,0.06971420298660803,-0.17854697216315746,-1.319346429100153,0.018854731117393185,-0.2268129624543356,-1.4184946607208164,-0.054252604475379294,-0.2905109737675716,-1.414668885459471,-0.10156433397117498,-0.02374061370494914,-0.9502614278734418,0.03854445851088006,-0.04389455373320263,-1.2767987143558444,-0.0010169351494734966,-0.09272134592292287,-1.4111748542776428,-0.04729957349201302,-0.15420080933520355,-1.4466422389308018,-0.07574788378131223,0.12125793266718171,-0.8333724582995667,-0.006226629849899187,0.10353938094251418,-1.1256679243954584,-0.03607971757854768,0.060045378578705955,-1.2777642650183703,-0.06336499822215261,0.00687638168618683,-1.367960278467933,-0.08160310869584705
C,0.0,0.0,0.0,-0.25466139348042577,-0.053594462917431654,-0.09421590847038805,-0.4851095945568534,-0.30125559487606374,-0.1415551496752887,-0.5740710144823299,-0.5681572040458305,-0.19033360688862577,-0.4692489686990246,-0.7599458540038689,-0.225003927436887,-0.3432520612440794,-0.920475343861231,0.07612278167548962,-0.3746954310798966,-1.2292446839845856,0.030491027396354016,-0.41722025208198454,-1.3701592267418465,-0.04329948478712171,-0.45802157851821007,-1.4382781206436874,-0.10081000830173026,-0.20966326337521443,-0.9748349296041624,0.0757507492669421,-0.24668971172496112,-1.3147154497085514,0.03681533687163917,-0.2868042791921476,-1.440439650943013,-0.03306218548438377,-0.3368943833452641,-1.4648100084395965,-0.08066256057282545,-0.08372234051725705,-0.9577801843670927,0.05065473790349352,-0.11160755389009107,-1.2757164919709236,0.01843688713978293,-0.1541029246614719,-1.413211090239015,-0.022984789453169306,-0.19620122759458128,-1.4559666290138455,-0.05074144965310233,0.06689211684102382,-0.8596528175136894,0.010364993046830927,0.028490328137932525,-1.146144078659658,-0.014985691738038829,-0.017352017615345997,-1.2874247810922699,-0.03680200713519183,-0.06061761397497292,-1.3711786858419432,-0.05213605293581414
